状态,链接,活动id,upid,抽奖时间戳,抽奖时间,一等奖,二等奖,三等奖
1,https://www.bilibili.com/opus/988741006748811319,988741006748811319,1340190821,1729580820,2024-10-22 15:07:00,随机角色周边,无,
1,https://www.bilibili.com/opus/988133071332048918,988133071332048918,9862450,1729587600,2024-10-22 17:00:00,中国古建筑结构图鉴,无,
1,https://t.bilibili.com/985875344416309251,985875344416309251,3546679548577863,1729587600,2024-10-22 17:00:00,星罗加厚弹性鼠标垫,无,
1,http://www.bilibili.com/opus/968818092259934240,968818092259934240,1105739740,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/986205238739337235,986205238739337235,1310714247,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/982851996714270721,982851996714270721,229808285,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/980317996064964610,980317996064964610,32708362,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/988890793747939346,988890793747939346,873668,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/987272974024310823,987272974024310823,321173469,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/986205238701588488,986205238701588488,1312702972,1729612800,2024-10-23 00:00:00,无,无,无
1,http://www.bilibili.com/opus/985886442866606083,985886442866606083,512488108,1729612800,2024-10-23 00:00:00,无,无,无
1,https://www.bilibili.com/opus/988436480652214290,988436480652214290,321173469,1729638000,2024-10-23 07:00:00,【大会员观剧礼包*1】,无,
1,https://t.bilibili.com/986252163419209730,986252163419209730,3546563777399037,1729645200,2024-10-23 09:00:00,角色周边立牌-随机款,无,
1,https://www.bilibili.com/opus/988802841362563136,988802841362563136,620667498,1729648800,2024-10-23 10:00:00,【周年礼盒】,【克萝萝抱枕】,【魔女徽章（随机款）】
1,https://www.bilibili.com/opus/988757787152482304,988757787152482304,1636034895,1729652400,2024-10-23 11:00:00,菲林*500,无,
1,https://t.bilibili.com/989245588068368389,989245588068368389,27534330,1729652400,2024-10-23 11:00:00,花火立牌1份,无,
